fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas
FECHA INVÁLIDA,Escenario Principal,Neón,15:30,16.00,2:00 PM,
17/07/2026,Escenario Principal,Topacio,2100,22:00,,Patrocinado por Red Bull
16/07/2026,Escenario Principal,Los  Olvidados,0030,1:00,23.00,  Sin requisitos especiales 
2026/07/15,Esc. Sol,  CÓDIGO ROJO  ,18.30,19:30,1700,	Equipo propio de sonido	
17/07/2026,ESCENARIO RIO,CUARTO CRECIENTE,17.30,6:00 PM,,Patrocinado por Red Bull
2026/07/15,Escenario sol,Aurora Boreal,22.00,18:00,16:00,Error horario posible
16/07/26,Escenario bosque,Silencio Roto,14:00,3:30 PM,1300,
15/07/2026,ESCENARIO LUNA,Wisteria,12.30,2:00 PM,1000,IMPORTANTE: carga eléctrica extra
17/07/2026,Escenario sol,Sístole,1130,12:00 PM,9:00 AM,
2026/07/15,Escenario Luna,Loto,16.30,17:00,14:00,
FECHA INVÁLIDA,Esc. Luna,Amanecer,22.00,23:00,20:00,"
Cambio de última hora
"
17/07/26,escenario rio,Los Satélites,8:00 PM,2130,,Necesita piano de cola
16/07/2026,Escenario sol,OASIS SONORO,12:00 PM,,,
15/07/26,Esc. Río,  Sonido Ancestral,19.30,20.00,18.00,Patrocinado por Red Bull
16/07/26,Main Stage,  Gaviota  ,1:30,3:30,23:00,Artista confirmado
FECHA INVÁLIDA,Escenario sol,Sombra Latina,1600,17.00,15.00,
FECHA INVÁLIDA,Escenario Río,,1:00 PM,17.00,,
2026/07/16,ESCENARIO BOSQUE,TEMPESTAD,19:00,20:00,5:00 PM,	Equipo propio de sonido	
16/07/2026,Escenario Luna,Radio Pirata,18.30,1930,1700,IMPORTANTE: carga eléctrica extra
FECHA INVÁLIDA,Escenario Río,ébano,22:00,23:00,20.00,Necesita piano de cola
FECHA INVÁLIDA,ESCENARIO BOSQUE,Laberinto,23.00,1600,,
FECHA INVÁLIDA,Esc. Bosque,los eternos  ,00.00,2:30,23:00,
17/07/2026,Esc. Bosque,CLAVE DE SOL,15:30,16.00,1400,  Requiere pantalla LED  
17/07/2026,Esc. Río,yesca,1800,8:30 PM,,
17/07/2026,ESCENARIO BOSQUE,lava,20.00,2100,,
FECHA INVÁLIDA,Esc. Sol,Coral,13.00,2:00 PM,1100,   
15/07/2026,escenario bosque,ENIGMA,4:30 PM,18:00,15:00,
16/07/26,escenario rio,vórtice,1830,20:30,1700,Patrocinado por Red Bull
2026/07/17,Escenario luna,Urano,8:00 PM,21:30,19.00,Posible retraso
15/07/26,Escenario Bosque,Jungla Urbana,12:30,14:00,11:00,	Equipo propio de sonido	
16/07/2026,Escenario Principal,Corriente Alterna,14:00,15:00,13.00,Posible retraso
FECHA INVÁLIDA,Escenario Bosque,lux,9:30 PM,2200,20.00,IMPORTANTE: carga eléctrica extra
2026/07/16,ESCENARIO RIO,Nómada,01:30,02:00,,IMPORTANTE: carga eléctrica extra
16/07/2026,Escenario luna,Los Eternos,1900,20:00,17:00,"
Cambio de última hora
"
16/07/2026,Escenario Luna,Callejón Sin Salida,20:00,21:00,,  Requiere pantalla LED  
2026/07/15,Escenario Luna,Zodíaco,23.30,0:00 AM,22.00,Posible retraso
FECHA INVÁLIDA,escenario sol,Los Satélites,2:30 PM,16:00,1300,IMPORTANTE: carga eléctrica extra
15/07/2026,Escenario Principal,Prisma,18.30,8:30 PM,17.00,
16/07/2026,Escenario Principal,Oleaje,15:00,1630,,IMPORTANTE: carga eléctrica extra
FECHA INVÁLIDA,Esc. Sol,Café Quemado,1:30 PM,2:30 PM,12:00,Artista confirmado
15/07/26,Esc. Bosque,Rayo,22.00,00:00,,  Sin requisitos especiales 
17/07/26,escenario bosque,Los Descalzos,22:30,23.00,21.00,Artista confirmado
FECHA INVÁLIDA,escenario luna,Iris,9:00 PM,2230,,
FECHA INVÁLIDA,Escenario luna,Ecos  del  Sur,18:30,2000,1600,  Sin requisitos especiales 
FECHA INVÁLIDA,ESCENARIO RIO,Quintaesencia,0:30,0130,2300,Posible retraso
FECHA INVÁLIDA,escenario luna,Impulso,1300,1500,12:00,  Sin requisitos especiales 
15/07/2026,escenario sol,El Circo Eléctrico,19:00,20.30,1800,Artista confirmado
2026/07/17,Escenario luna,Prisma,11.30,13:30,1000,
FECHA INVÁLIDA,Escenario Río,Alma  Negra,21.30,23:00,19.00,
17/07/2026,Escenario luna,Vendaval,5:00 PM,18:00,4:00 PM,   
15/07/2026,Esc. Bosque,Pólvora,1800,19.30,17:00,  Requiere pantalla LED  
17/07/26,Escenario Bosque,Beto y los Fugitivos,13:00,14:00,11:00 AM,IMPORTANTE: carga eléctrica extra
15/07/2026,Escenario Principal,Rocío,13:00,1500,,   
16/07/2026,Esc. Luna,Amanecer,11:30 AM,13:00,9:00,   
FECHA INVÁLIDA,Esc. Río,Mosaico,04:00,06.30,02:00,Artista confirmado
16/07/26,Esc. Bosque,MÁRMOL,10:00 PM,18:00,4:00 PM,Error horario posible
17/07/2026,Escenario bosque,Tercer Acto,21.00,22:30,,Patrocinado por Red Bull
16/07/2026,,Zodíaco,,3:00 PM,,
16/07/26,Esc. Principal,  Impulso,11:00 AM,12:00,09.00,IMPORTANTE: carga eléctrica extra
16/07/2026,Escenario sol,Los Vagabundos,11:00,12:00 PM,10.00,Patrocinado por Red Bull
17/07/2026,Escenario Principal,La Tribu,14:00,15:00,1:00 PM,
16/07/26,ESCENARIO LUNA,Vendaval,22:00,18:00,4:00 PM,Error horario posible
FECHA INVÁLIDA,ESCENARIO SOL,OASIS SONORO,13.30,3:00 PM,11:00 AM,IMPORTANTE: carga eléctrica extra
FECHA INVÁLIDA,escenario luna,KALEIDOSCOPIO,1:00 PM,3:30 PM,11.00,
17/07/2026,Esc. Luna,Alquimia,01.30,02:00,11:00 PM,
15/07/2026,Main Stage,MÁRMOL,2100,22:00,2000,   
2026/07/15,Esc. Bosque,Crepúsculo,2:00 PM,16:00,12:00 PM,  Sin requisitos especiales 
17/07/2026,ESCENARIO BOSQUE,Quirón,14.00,1500,1:00 PM,
17/07/26,escenario sol,  Jardín  Secreto,16.00,6:00 PM,1500,  Requiere pantalla LED  
16/07/2026,Esc. Bosque,Rocío,15:30,17.00,14.00,  Requiere pantalla LED  
2026/07/15,Escenario Principal,Wisteria,4:00 PM,18.30,2:00 PM,
15/07/2026,Esc. Sol,Despertar,14.30,16:30,1200,
2026/07/17,ESCENARIO LUNA,Eclipse Total,11:00 PM,01:00,,Posible retraso
15/07/2026,escenario rio,Granito,21.00,10:00 PM,8:00 PM,
FECHA INVÁLIDA,Escenario sol,Los  Descalzos,1230,1300,1000,Artista confirmado
16/07/26,escenario rio,Altavoz,06.00,7:00,5:00 AM,  Requiere pantalla LED  
16/07/2026,Escenario Sol,magma,12.30,13.00,10.00,
FECHA INVÁLIDA,escenario sol,Wavelength,1800,19.00,,Artista confirmado
15/07/2026,Escenario Luna,Brújula,15:00,1600,1400,
15/07/2026,ESCENARIO SOL,Kilómetro Cero,16.00,1700,15:00,
15/07/2026,Escenario Principal,Nómada,1130,1200,1000,Necesita piano de cola
16/07/2026,Escenario Rio,Voltio,3:00 AM,04.00,01.00,Artista confirmado
FECHA INVÁLIDA,Escenario Principal,LATIDO,20:00,9:30 PM,7:00 PM,  Sin requisitos especiales 
