fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas
15/07/2026,Escenario Principal,Neón,15:30,16:00,14:00,
17/07/2026,Escenario Principal,Topacio,21:00,22:00,,Patrocinado por Red Bull
16/07/2026,Escenario Río,Los Olvidados,16:00,18:00,15:00,
15/07/2026,Escenario Sol,Código Rojo,18:30,19:30,17:00,Equipo propio de sonido
17/07/2026,Escenario Río,Cuarto Creciente,17:30,18:00,,Patrocinado por Red Bull
15/07/2026,Escenario Sol,Aurora Boreal,22:00,18:00,16:00,Error horario posible
16/07/2026,Escenario Bosque,Silencio Roto,14:00,15:30,13:00,
15/07/2026,Escenario Luna,Wisteria,12:30,14:00,10:00,IMPORTANTE: carga eléctrica extra
17/07/2026,Escenario Sol,Sístole,11:30,12:00,09:00,
15/07/2026,Escenario Luna,Loto,16:30,17:00,14:00,
15/07/2026,Escenario Luna,Amanecer,22:00,23:00,20:00,Cambio de última hora
17/07/2026,Escenario Río,Los Satélites,20:00,21:30,,Necesita piano de cola
16/07/2026,Escenario Sol,OASIS SONORO,12:00,,,
15/07/2026,Escenario Río,Sonido Ancestral,19:30,20:00,18:00,Patrocinado por Red Bull
16/07/2026,Escenario Principal,Gaviota,01:30,03:30,23:00,Artista confirmado
16/07/2026,Escenario Sol,Sombra Latina,16:00,17:00,15:00,
16/07/2026,Escenario Río,,13:00,17:00,,
16/07/2026,Escenario Bosque,TEMPESTAD,19:00,20:00,17:00,Equipo propio de sonido
16/07/2026,Escenario Luna,Radio Pirata,18:30,19:30,17:00,IMPORTANTE: carga eléctrica extra
16/07/2026,Escenario Río,Ébano,22:00,23:00,20:00,Necesita piano de cola
,Escenario Bosque,Laberinto,23:00,16:00,,
16/07/2026,Escenario Bosque,los eternos,00:00,02:30,23:00,
17/07/2026,Escenario Bosque,CLAVE DE SOL,15:30,16:00,14:00,Requiere pantalla LED
17/07/2026,Escenario Río,Yesca,18:00,20:30,,
17/07/2026,Escenario Bosque,lava,20:00,21:00,,
15/07/2026,Escenario Sol,Coral,13:00,14:00,11:00,
15/07/2026,Escenario Bosque,Enigma,16:30,18:00,15:00,
16/07/2026,Escenario Río,Vórtice,18:30,20:30,17:00,Patrocinado por Red Bull
17/07/2026,Escenario Luna,Urano,20:00,21:30,19:00,Posible retraso
15/07/2026,Escenario Bosque,Jungla Urbana,12:30,14:00,11:00,Equipo propio de sonido
16/07/2026,Escenario Principal,Corriente Alterna,14:00,15:00,13:00,Posible retraso
15/07/2026,Escenario Bosque,Lux,21:30,22:00,20:00,IMPORTANTE: carga eléctrica extra
16/07/2026,Escenario Río,Nómada,01:30,02:00,,IMPORTANTE: carga eléctrica extra
,Escenario Bosque,,21:00,23:00,,
16/07/2026,Escenario Luna,los eternos,19:00,20:00,17:00,Cambio de última hora
16/07/2026,Escenario Luna,Callejón Sin Salida,20:00,21:00,,Requiere pantalla LED
15/07/2026,Escenario Luna,Zodíaco,23:30,00:00,22:00,Posible retraso
